sampleSize,mergeSort,keycomp
1303,3300932,9699
1304,2930146,9707
1305,2600839,9717
1306,2555408,9726
1307,2387806,9735
1308,3013121,9743
1309,4645111,9752
1310,3455137,9760
1311,3476472,9768
1312,3608938,9775
1313,2824816,9786
1314,3502976,9796
1315,2772288,9806
1316,2678109,9815
1317,2797265,9825
1318,2742503,9834
1319,2759070,9843
1320,2693101,9851
1321,2608995,9861
1322,2564664,9870
1323,2571069,9879
1324,2604815,9887
1325,3146094,9896
1326,2801713,9904
1327,3157134,9912
1328,2823784,9919
1329,2719885,9929
1330,2806369,9938
1331,2787086,9947
1332,2688176,9955
1333,2846783,9964
1334,2715964,9972
1335,2678596,9980
1336,3436223,9987
1337,2641755,9996
1338,2729195,10004
1339,2616018,10012
1340,2550761,10019
1341,2627947,10027
1342,3382271,10034
1343,3159235,10041
1344,3081649,10047
1345,3232268,10058
1346,3203332,10068
1347,3125184,10078
1348,3040333,10087
1349,3010216,10097
1350,2971110,10106
1351,2943578,10115
1352,3031125,10123
1353,2990547,10133
1354,3080409,10142
1355,3772009,10151
1356,2772917,10159
1357,2660609,10168
1358,2689808,10176
1359,2712949,10184
1360,2729306,10191
1361,2773589,10201
1362,2763234,10210
1363,2721045,10219
1364,2662337,10227
1365,2734477,10236
1366,2718706,10244
1367,2863711,10252
1368,3374597,10259
1369,2866790,10268
1370,2730920,10276
1371,2719325,10284
1372,2627577,10291
1373,2612511,10299
1374,2511748,10306
1375,2460484,10313
1376,2531742,10319
1377,2485336,10329
1378,2499911,10338
1379,3568510,10347
1380,2451038,10355
1381,2476465,10364
1382,2472851,10372
1383,2435862,10380
1384,2343815,10387
1385,2892857,10396
1386,2549673,10404
1387,2548496,10412
1388,2944642,10419
1389,2617274,10427
1390,2599882,10434
1391,3162243,10441
1392,3648475,10447
1393,2784142,10456
1394,2566178,10464
1395,2593387,10472
1396,2584361,10479
1397,2467023,10487
1398,2507041,10494
1399,2514718,10501
1400,2449055,10507
1401,2560676,10515
1402,3290028,10522
1403,2586344,10529
1404,2576427,10535
1405,2583786,10542
1406,2576248,10548
1407,2817896,10554
1408,3186477,10559
1409,3087955,10570
1410,3102475,10580
1411,3066293,10590
1412,3223901,10599
1413,3053894,10609
1414,3033187,10618
1415,3099836,10627
1416,3344224,10635
1417,3125520,10645
1418,3072610,10654
1419,3195559,10663
1420,3018910,10671
1421,2897575,10680
1422,3092383,10688
1423,3130153,10696
1424,3548027,10703
1425,3968684,10713
1426,2745927,10722
1427,2820455,10731
1428,2676963,10739
1429,2521964,10748
1430,2632844,10756
1431,2541239,10764
1432,3167423,10771
1433,3046589,10780
1434,2843628,10788
1435,2750755,10796
1436,4189233,10803
1437,2939943,10811
1438,3038594,10818
1439,3002134,10825
1440,3332983,10831
1441,3005429,10841
1442,2883040,10850
1443,3178739,10859
1444,2792396,10867
1445,3479738,10876
1446,3716578,10884
1447,3581551,10892
1448,3019529,10899
1449,2898487,10908
1450,2873612,10916
1451,2938592,10924
1452,2810339,10931
1453,3462973,10939
1454,3397494,10946
1455,3443973,10953
1456,3396595,10959
1457,3336102,10968
1458,3289823,10976
1459,3274697,10984
1460,2774189,10991
1461,2682123,10999
1462,2811355,11006
1463,2704483,11013
1464,2628255,11019
1465,2653330,11027
1466,2661678,11034
1467,2697126,11041
1468,2603511,11047
1469,2056206,11054
1470,2924529,11060
1471,2178651,11066
1472,2124318,11071
1473,2111658,11081
1474,2124263,11090
1475,2685715,11099
1476,2644351,11107
1477,2651684,11116
1478,2575870,11124
1479,2545451,11132
1480,2733613,11139
1481,2934412,11148
1482,3006855,11156
1483,2822821,11164
1484,2948407,11171
1485,3039912,11179
1486,2998193,11186
1487,2441708,11193
1488,2481627,11199
1489,2432105,11208
1490,2479815,11216
1491,2410358,11224
1492,2562050,11231
1493,2448105,11239
1494,2465241,11246
1495,2476306,11253
1496,2454258,11259
1497,2477721,11267
1498,2443738,11274
1499,2673314,11281
1500,2441024,11287
1501,2372478,11294
1502,2328914,11300
1503,2375206,11306
1504,2351361,11311
